DB_NAME,DB_MARKET,NAME,DESC,MARKET
LOAK,K,없음,없음,없음,
VAL,없음,VAL,밸라리스,뉴욕 거래소,
LOAK_u,K,없음,없음,없음,
AMRH,O,없음,없음,없음,
LCA,O,LCA,랜카디아 홀딩스 II,나스닥 증권거래소,
LCAHU,O,LCAHU,Landcadia Holdings IV Units,나스닥 증권거래소,
DMYT_u,K,없음,없음,없음,
BFYT,O,없음,없음,없음,
TCO,없음,TCO,두엔하이복합운송,호치민 거래소,
VVUS,O,없음,없음,없음,
LHC_u,없음,없음,없음,없음,
LHC,없음,LHC,레오 홀딩스,뉴욕 거래소,
ELGX,O,없음,없음,없음,
HCR,없음,HCRB,Hartford Core Bond ETF,아멕스 증권거래소,
HHS,없음,HHS,하트 행크스,나스닥 증권거래소,
UGAZ,K,없음,없음,없음,
POL,없음,POL,폴리쉬드닷컴,아멕스 증권거래소,
MSBF,O,없음,없음,없음,
DGAZ,K,없음,없음,없음,
PSA_pv,없음,없음,없음,없음,
TRPX,O,없음,없음,없음,
RTW,없음,없음,없음,없음,
CATS,O,없음,없음,없음,
TVIX,O,없음,없음,없음,
INTL,O,INTL,Main International ETF,아멕스 증권거래소,
CVTI,O,없음,없음,없음,
EASI,K,없음,없음,없음,
VIIX,O,없음,없음,없음,
UGLD,O,없음,없음,없음,
USLV,O,없음,없음,없음,
PTLA,O,없음,없음,없음,
DSLV,O,없음,없음,없음,
DGLD,O,없음,없음,없음,
GPAQ,O,없음,없음,없음,
ARYAU,O,없음,없음,없음,
IBKCO,O,없음,없음,없음,
IBKCP,O,없음,없음,없음,
CVIA,K,없음,없음,없음,
GNC,없음,없음,없음,없음,
ARYA,O,ARYD,ARYA 사이언시스 애퀴지션 IV,나스닥 증권거래소,
IBKC,O,없음,없음,없음,
IBKCN,O,없음,없음,없음,
DDI,O,DDI,더블다운 인터랙티브 ADR,나스닥 증권거래소,
GPAQU,O,없음,없음,없음,
ALO,없음,ALPX,Alopexx Inc,나스닥 증권거래소,
TECD,O,없음,없음,없음,
RUBI,O,RBT,Rubicon Technologies Inc,뉴욕 거래소,
OTTW,O,없음,없음,없음,
LLEX,K,없음,없음,없음,
IOTS,O,없음,없음,없음,
CHK_pd,없음,없음,없음,없음,
CHK,없음,CHK,체사피크 에너지,나스닥 증권거래소,
LK,O,LKQ,LKQ,나스닥 증권거래소,
PACA,K,없음,없음,없음,
MSUS,K,없음,없음,없음,
ACTT,O,없음,없음,없음,
XOG,O,없음,없음,없음,
ACTTU,O,없음,없음,없음,
AXE,없음,Axel Mark Inc,3624,도쿄 거래소,
DVP,없음,DVP,딘부항구개발투자,호치민 거래소,
SDRL,K,SDRL,씨드릴,뉴욕 거래소,
PGNX,O,없음,없음,없음,
JPED,K,없음,없음,없음,
JPHF,K,없음,없음,없음,
JPGE,K,없음,없음,없음,
FDEF,O,없음,없음,없음,
CRC,없음,CRC,캘리포니아 리소시스,뉴욕 거래소,
XRF,없음,없음,없음,없음,
VGFO,K,없음,없음,없음,
ERI,O,ERIE,Erie Indemnity Co,나스닥 증권거래소,
BGG,없음,없음,없음,없음,
RBS,없음,없음,없음,없음,
RTIX,O,없음,없음,없음,
FNJN,O,없음,없음,없음,
EGIF,K,없음,없음,없음,
TMUSR,O,없음,없음,없음,
OLEM,K,OLMA,Olema Pharmaceuticals Inc,나스닥 증권거래소,
QES,없음,없음,없음,없음,
TTPH,O,없음,없음,없음,
EE,없음,EE,엑셀러레이트 에너지,뉴욕 거래소,
BEP_w,없음,없음,없음,없음,
BEPC_w,K,없음,없음,없음,
RIF,없음,없음,없음,없음,
ECT,없음,없음,없음,없음,
GCAP,K,없음,없음,없음,
DNR,없음,없음,없음,없음,
CCI_pa,없음,없음,없음,없음,
BVAL,K,없음,없음,없음,
TCRD,O,없음,없음,없음,
ENT,O,ENTA,에난타 파마슈티컬스,나스닥 증권거래소,
ASNA,O,없음,없음,없음,
ROSEU,O,ROSEU,Rose Hill Acquisition Units,나스닥 증권거래소,
SBBX,O,없음,없음,없음,
ROSE,O,ROSE,로즈 힐 애퀴지션,나스닥 증권거래소,
TERP,O,없음,없음,없음,
TLRD,K,없음,없음,없음,
TCRZ,K,없음,없음,없음,
TCRW,K,없음,없음,없음,
NE,없음,NE,노블,뉴욕 거래소,
HCDI,O,HCDI,하버 커스텀 디벨롭먼트,나스닥 증권거래소,
ACLL,O,없음,없음,없음,
ROYT,K,없음,없음,없음,
HFXJ,K,없음,없음,없음,
HFXE,K,없음,없음,없음,
QGTA,K,없음,없음,없음,
SDAG,K,없음,없음,없음,
CTV,없음,CTV,이노비드,뉴욕 거래소,
TXAC,O,없음,없음,없음,
DNJR,O,없음,없음,없음,
RORE,K,없음,없음,없음,
LVUS,K,없음,없음,없음,
DTYL,K,없음,없음,없음,
DTUL,K,없음,없음,없음,
DTUS,K,없음,없음,없음,
STPP,K,없음,없음,없음,
LVHB,K,없음,없음,없음,
TLF,O,TLF,탠디 레더 팩토리,나스닥 증권거래소,
GBLIZ,O,없음,없음,없음,
PVAL,O,PVAL,Putnam Focused Large Cap Value ETF,아멕스 증권거래소,
PMOM,O,없음,없음,없음,
PPHI,O,없음,없음,없음,
IFEU,O,없음,없음,없음,
HEWY,K,없음,없음,없음,
HEWL,K,HPE,Hewlett Packard Enterprise Co,뉴욕 거래소,
HAUD,K,없음,없음,없음,
HEWP,K,없음,없음,없음,
EUMV,K,없음,없음,없음,
HEWI,K,없음,없음,없음,
JPMV,K,없음,없음,없음,
CHAP,K,없음,없음,없음,
FSCT,O,없음,없음,없음,
ISDS,O,없음,없음,없음,
DBCP,O,없음,없음,없음,
HKIT,O,HKIT,하이텍 글로벌,나스닥 증권거래소,
